date, Iron_Feed,Silica_Feed,Starch_Flow,Amina_Flow,Ore_Pulp_Flow,Ore_Pulp_pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation_Column_04AirFlow,Flotation_Column_05AirFlow,Flotation _Column06Air Flow,Flotation_Column07AirFlow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation _Column04Level,Flotation_Column05Level,Flotation_Column06Level,Flotation_Column07Level,Iron_Concentrate,Silica _Concentrate
10-03-2017 02:00,"55,2","16,98","1793,46","5,03,845","4,03,125","1,01,736","1,62,879","249,17","2,48,511","2,51,147","2,95,096","306,4","2,50,269","2,49,939","4,64,703","5,15,995","4,51,335","456,25","415,29","417,24","414,92","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","2015,63","5,01,099","4,03,711","1,01,856","1,62,259","249,28","2,51,587","249,17","2,95,096","306,4","2,50,378","249,39","4,58,447","214,67","440,81","482,03","513,88","464,01","513,96","67,06","1,11"
10-03-2017 02:00,"55,2","16,98","4016,6","4,99,268","404,59","1,01,876","1,62,155","249,28","2,48,291","249,17","2,95,096","306,4","2,50,488","2,49,719","4,59,949","2,48,655","444,86","4,70,115","516,91","480,81","5,26,375","67,06","1,11"
10-03-2017 03:00,"55,2","16,98","3450,49","5,77,087","3,96,167","1,00,789","1,70,978","2,48,862","2,48,401","2,51,697","2,95,096","306,4","2,50,345","2,48,456","4,56,445","4,42,818","4,39,757","4,22,439","445,25","4,39,258","456,55","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3396,39","5,75,043","403,14","1,00,783","1,71,012","2,48,522","2,49,049","2,49,807","2,95,096","306,4","2,50,411","2,50,554","4,57,496","4,32,426","4,42,511","4,25,271","4,28,121","4,42,646","442,98","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3402,15","5,79,041","401,66","1,00,777","1,71,046","2,49,027","2,51,675","2,48,796","2,95,096","306,4","2,49,884","2,51,202","4,54,368","4,44,712","4,46,993","4,42,674","4,16,778","4,51,858","4,29,516","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3426,76","5,79,193","4,00,415","1,00,771","1,71,081","2,49,324","2,48,698","2,48,511","2,95,096","306,4","2,49,247","2,48,555","4,50,189","4,62,949","4,51,715","4,37,012","4,06,477","4,52,026","4,14,371","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3436,04","5,77,362","4,03,433","1,00,766","1,71,115","2,49,532","2,48,566","2,48,357","2,95,096","306,4","2,49,543","249,5","4,58,723","4,55,389","4,58,752","441,15","400,09","440,85","417,68","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3424,9","5,77,667","399,99","1,00,766","17,115","2,49,543","2,53,015","2,49,225","2,95,096","306,4","2,49,752","2,48,456","456,62","4,47,401","4,61,178","444,02","4,01,327","4,34,659","4,11,476","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3418,07","5,79,163","3,98,994","1,00,778","1,71,184","2,49,829","2,56,608","2,51,367","2,95,096","306,4","2,49,609","2,49,554","4,51,516","4,57,939","4,51,388","4,43,689","4,08,681","450,01","4,16,745","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3424,61","5,77,637","4,00,005","1,00,789","1,71,219","2,50,137","2,53,477","2,51,213","2,95,096","306,4","2,50,378","2,52,114","4,39,854","4,53,861","446,18","4,54,979","4,24,736","4,63,086","4,25,132","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3435,84","5,80,933","400,21","1,00,801","1,71,253","2,50,708","2,49,203","2,51,082","2,95,096","306,4","2,51,653","254,85","4,39,904","4,67,592","4,50,254","4,60,508","4,35,478","4,63,758","4,31,422","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3470,51","584,32","3,94,395","1,00,813","1,71,287","250,4","2,48,247","2,51,367","2,95,096","306,4","2,51,213","2,53,411","4,53,492","4,99,626","4,52,228","4,56,929","449,44","464,43","4,43,972","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3529,39","5,84,717","3,99,858","1,00,825","1,71,322","2,49,983","251,62","2,50,367","2,95,096","306,4","2,51,158","2,52,356","4,61,625","5,02,459","4,56,922","4,41,227","4,51,754","4,70,114","4,69,934","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3608,5","5,84,076","4,01,968","1,00,836","1,71,356","2,50,653","2,53,762","2,48,511","2,95,096","306,4","2,51,818","249,39","4,45,259","4,80,823","4,46,561","4,31,992","4,61,062","4,56,422","4,92,363","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3712,79","5,82,886","3,95,127","1,00,848","1,71,391","2,51,367","2,50,895","2,48,203","2,95,096","306,4","2,51,938","2,47,994","4,47,361","4,52,589","4,45,454","4,66,388","4,74,805","4,52,194","4,84,995","66,97","1,27"
10-03-2017 03:00,"55,2","16,98","3741,21","5,84,167","4,02,583","10,086","1,71,425","2,51,136","2,49,082","2,48,785","2,95,096","306,4","2,51,521","2,51,631","4,61,325","4,30,014","4,41,974","482,93","485,35","4,36,763","4,61,767","66,97","1,27"
10-03-2017 04:00,"55,2","16,98","3251,95","5,82,886","3,95,215","9,95,974","1,72","2,50,708","2,50,488","249,39","2,95,096","306,4","2,48,071","2,51,147","4,48,938","488,24","454,3","426,56","371,23","443,57","400,58","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3254,88","580,78","3,96,006","9,96,092","1,72","2,50,675","2,50,027","249,39","2,95,096","306,4","2,47,972","2,50,818","4,49,464","4,91,978","4,55,757","4,29,372","3,72,469","4,46,258","4,00,248","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3269,43","5,70,953","4,00,488","99,621","1,72","2,50,488","2,47,511","2,49,456","2,95,096","306,4","2,47,412","2,48,818","4,52,967","5,14,945","4,62,878","4,47,947","3,83,456","4,58,214","3,96,798","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3257,52","5,81,329","4,01,235","9,96,327","1,72","2,50,587","2,48,566","2,50,126","2,95,096","306,4","2,47,511","2,48,566","4,54,894","5,19,367","4,56,622","4,67,402","411,3","4,43,262","3,89,213","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3258,79","5,75,531","4,03,096","9,96,445","1,72","2,50,884","2,50,939","2,51,873","2,95,096","306,4","248,17","2,50,906","4,47,737","4,82,947","4,57,297","4,90,509","4,44,952","460,79","4,00,766","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3278,03","5,90,637","3,91,055","9,96,563","1,72","2,49,587","2,49,796","2,51,851","2,95,096","306,4","2,48,665","2,48,324","4,42,056","457,32","4,55,596","4,76,267","4,65,688","4,45,894","4,28,467","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3294,43","5,78,491","3,99,243","99,668","1,72","2,50,708","2,55,465","2,49,708","2,95,096","306,4","2,48,357","2,48,873","4,48,062","4,44,995","4,52,142","4,75,957","4,81,878","4,60,258","4,60,579","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3301,56","5,75,073","3,99,609","9,96,798","1,72","2,50,576","2,47,072","2,50,071","2,95,096","306,4","2,48,665","2,50,697","4,46,761","4,40,405","4,42,403","4,79,547","495,62","4,86,018","4,95,198","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3293,75","5,78,875","3,94,838","9,96,916","1,72","2,49,892","2,51,556","2,48,856","2,95,096","306,4","2,48,417","2,49,201","4,50,511","4,38,313","4,39,884","4,55,244","5,04,204","491,01","519,36","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3285,06","5,77,332","3,97,031","9,97,006","1,72","2,50,225","2,52,883","2,48,291","2,95,096","306,4","2,49,192","2,48,291","4,45,685","4,36,923","4,44,104","4,45,972","5,01,759","4,86,578","5,24,558","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3272,27","5,81,604","4,05,293","9,96,853","1,72","2,49,961","2,54,333","2,48,445","2,95,096","306,4","2,49,368","2,50,378","4,52,091","4,57,717","4,44,968","4,38,437","4,96,305","4,84,114","5,29,855","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3264,45","5,76,477","4,03,418","9,967","1,72","251,06","2,50,972","2,49,895","2,95,096","306,4","2,49,148","2,51,104","4,47,787","443,27","4,47,075","4,44,376","4,91,134","4,67,146","4,97,577","66,75","1,36"
10-03-2017 04:00,"55,2","16,98","3260,16","5,82,825","4,00,078","9,96,546","1,72","2,50,269","2,47,808","2,50,576","2,95,096","306,4","2,48,928","248,84","4,37,427","445,31","435,69","4,53,363","4,82,982","4,32,202","4,58,123","66,75","1,36"
10-03-2017 05:00,"55,2","16,98","3674,48","625,58","3,97,119","9,82,812","1,76","247,72","2,50,291","250,51","2,95,096","306,4","2,43,622","2,50,587","5,54,416","5,40,322","5,67,421","5,42,091","533,71","529,54","5,44,859","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3638,57","6,14,014","4,01,689","9,82,729","1,76","2,48,884","2,46,302","2,50,906","2,95,096","306,4","2,49,708","2,49,027","5,65,977","5,58,647","5,68,123","5,31,817","5,44,692","5,22,755","5,01,025","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3577,34","6,19,202","402,51","9,82,647","1,76","2,49,159","245,05","2,50,928","2,95,096","306,4","2,55,267","248,95","543,73","5,42,386","5,63,533","5,44,978","5,42,658","5,28,924","5,10,846","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3453,61","6,11,389","4,01,147","9,82,564","1,76","249,17","2,46,039","250,51","2,95,096","306,4","2,48,654","2,53,125","5,46,333","5,50,628","5,58,169","5,34,937","5,49,844","5,88,312","5,47,124","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3458,4","6,14,441","3,99,961","9,82,482","1,76","2,50,214","2,55,487","2,50,488","2,95,096","306,4","2,45,369","2,48,752","5,35,122","5,32,281","5,39,955","5,40,307","5,48,663","588,76","5,58,433","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3418,16","6,19,263","3,92,109","9,82,399","1,76","2,50,895","2,55,146","250,28","2,95,096","306,4","2,52,312","2,52,059","5,38,325","5,57,652","5,47,208","5,80,701","5,54,337","5,58,828","5,43,208","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3390,04","6,25,885","3,99,492","9,82,317","1,76","2,51,763","2,48,632","248,39","2,95,096","306,4","2,56,652","2,52,246","5,19,507","5,49,359","5,26,113","5,82,069","5,45,739","5,20,542","5,21,936","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3388,67","6,14,624","4,02,964","9,82,234","1,76,033","2,50,972","246,83","2,47,665","2,95,096","306,4","2,53,312","2,47,654","5,49,411","5,42,932","547,02","5,55,686","5,44,747","5,40,964","5,41,304","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3362,7","6,20,392","398,95","9,82,152","1,76,067","2,50,719","245,5","2,49,719","2,95,096","306,4","2,44,775","246,16","5,59,596","5,57,687","5,47,154","5,42,425","5,50,477","6,02,788","5,89,025","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3363,18","611,45","3,99,844","9,82,069","1,76,102","2,50,917","2,49,818","2,50,455","2,95,096","306,4","2,46,423","2,46,094","5,58,145","5,83,228","5,54,795","5,50,331","544,5","6,46,422","6,40,756","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3391,11","6,23,138","4,09,365","9,81,987","1,76,136","2,50,928","2,45,457","2,50,488","2,95,096","306,4","2,53,213","2,49,225","5,62,799","574,85","5,53,661","5,56,718","5,49,927","5,99,596","5,73,639","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3392,58","6,23,779","4,09,863","9,81,692","17,617","2,50,928","2,45,215","2,50,488","2,95,096","306,4","2,53,564","249,39","5,63,049","574,34","553,58","557,03","550,23","597,02","569,97","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3340,63","6,15,082","4,05,132","9,81,386","1,76,205","2,50,928","2,52,312","250,28","2,95,096","306,4","2,52,103","247,72","5,47,359","5,68,422","5,57,684","5,45,526","5,38,193","5,34,244","4,99,727","66,63","1,34"
10-03-2017 05:00,"55,2","16,98","3310,06","6,12,305","4,13,232","98,108","1,76,239","2,51,345","2,47,676","2,50,269","2,95,096","306,4","2,50,356","252,85","5,50,812","5,50,345","5,55,335","537,5","5,49,596","5,39,452","4,97,075","66,63","1,34"
10-03-2017 06:00,"55,2","16,98","3414,06","6,22,065","3,93,611","97,181","1,77","2,50,436","2,50,991","248,95","2,95,096","306,4","2,48,982","2,50,164","5,52,515","5,57,048","5,52,269","5,58,409","5,35,127","5,50,033","5,19,965","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3410,94","6,21,338","3,92,285","9,72,046","1,77","2,50,488","2,52,246","248,95","2,95,096","306,4","2,48,511","2,50,269","5,49,536","559,61","553,04","554,69","533,16","553,9","521,41","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3430,47","6,22,733","3,96,973","9,72,281","1,77","2,50,488","248,73","2,49,955","2,95,096","306,4","2,48,511","2,51,775","5,41,528","5,54,863","5,54,686","5,37,128","5,33,579","573,1","5,20,572","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3426,17","6,30,493","4,01,294","9,72,516","1,77","2,50,818","2,47,632","2,51,093","2,95,096","306,4","2,49,664","2,49,609","5,38,651","5,47,432","552,77","5,35,158","542,38","577,84","542,24","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3398,83","6,34,766","398,95","9,72,752","1,77","2,51,587","2,50,433","2,51,697","2,95,096","306,4","2,50,049","2,49,554","5,44,531","5,46,297","554,39","5,45,997","5,48,165","578,68","5,74,795","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3389,45","6,25,763","3,97,852","9,72,987","1,77","2,51,312","2,49,225","2,52,631","2,95,096","306,4","2,50,049","2,51,971","5,49,536","5,47,008","5,47,107","5,54,785","543,76","549,7","5,63,342","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3383,98","6,16,608","4,00,708","9,73,222","1,77","2,51,642","2,46,039","2,49,939","2,95,096","306,4","2,49,884","2,49,884","5,47,534","5,46,302","5,36,722","5,64,845","5,49,815","5,26,453","534,79","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3376,56","6,24,237","3,98,804","9,73,458","1,77","2,51,642","249,5","2,49,445","2,95,096","306,4","2,49,829","248,95","5,43,906","551,54","5,36,177","554,98","5,53,675","5,25,338","5,27,068","66,85","1,15"
10-03-2017 06:00,"55,2","16,98",3325,"6,26,526","3,96,533","9,73,693","1,77","2,51,422","2,48,785","2,48,785","2,95,096","306,4","2,49,829","2,49,774","5,45,282","5,49,982","5,44,537","5,42,575","5,59,872","563,42","5,39,342","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3281,25","6,32,629","4,01,807","9,73,928","1,77","2,51,532","2,53,839","2,49,005","2,95,096","306,4","2,49,829","2,51,697","5,52,414","5,53,095","549,53","5,35,445","5,51,473","587,92","5,50,927","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3270,31","6,32,935","3,99,316","9,74,163","1,77","2,51,422","2,59,552","2,49,335","2,95,096","306,4","2,49,829","2,49,445","5,57,919","5,51,112","551,15","5,54,492","5,52,988","591,56","5,80,313","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3269,53","6,30,951","3,98,291","9,74,399","1,77","2,52,191","2,51,587","249,06","2,95,096","306,4","2,50,159","249,17","5,49,661","5,48,705","5,44,138","567,48","5,44,313","555,3","559,07","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3272,66","6,24,084","3,99,097","9,74,634","1,77","2,51,971","2,56,256","248,95","2,95,096","306,4","2,50,104","2,51,697","5,49,536","5,48,708","5,42,925","5,60,448","5,51,198","5,20,153","5,36,588","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3276,56","6,31,561","4,06,348","9,74,869","1,77","2,52,466","2,51,093","2,50,104","2,95,096","306,4","2,49,884","249,5","5,44,907","5,53,523","5,47,778","5,46,875","5,61,247","5,41,438","5,37,415","66,85","1,15"
10-03-2017 06:00,"55,2","16,98","3285,16","6,37,512","4,03,857","9,75,105","1,77","2,52,356","2,50,488","2,51,477","2,95,096","306,4","2,49,994","248,84","5,45,657","5,53,378","5,50,475","544,53","559,73","573,78","5,53,552","66,85","1,15"
10-03-2017 07:00,"54,95","17,4","3428,71","6,24,268","4,00,605","1,00,701","1,76,599","250,84","252,07","2,50,972","2,95,096","306,4","2,49,829","249,39","5,36,924","5,48,622","5,50,988","5,72,264","5,52,216","5,71,036","5,65,552","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3444,73","6,21,094","4,02,012","1,00,708","1,76,565","2,50,796","2,51,016","2,50,708","2,95,096","306,4","2,49,961","249,39","543,03","5,51,792","5,53,688","5,85,858","5,60,806","5,41,356","5,48,668","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3477,34","6,22,803","4,00,488","1,00,715","17,653","250,84","2,51,104","2,49,785","2,95,096","306,4","2,49,917","2,50,576","5,51,438","549,98","555,2","5,59,372","5,52,102","5,25,446","5,34,982","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3512,4","6,20,728","4,00,371","1,00,722","1,76,496","2,50,928","2,50,532","249,17","2,95,096","306,4","2,49,961","2,49,917","5,54,741","555,08","5,49,374","542,42","5,50,342","556,92","550,43","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3519,04","6,26,953","3,96,504","10,073","1,76,461","2,51,719","2,52,114","2,49,038","2,95,096","306,4","2,49,917","248,95","5,54,841","5,58,816","5,42,574","5,48,358","5,48,578","6,14,386","5,98,874","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3440,72","6,24,756","3,95,391","1,00,737","1,76,427","252,51","2,49,917","248,95","2,95,096","306,4","2,49,961","2,49,346","5,57,144","5,55,644","5,36,424","5,55,388","544,83","6,04,976","585,19","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3358,5","6,18,896","3,91,934","1,00,744","1,76,392","2,52,422","2,49,346","248,95","2,95,096","306,4","2,50,181","2,50,664","5,56,143","5,59,158","5,43,652","5,58,434","5,55,188","5,50,764","5,27,588","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3335,94","6,18,896","3,96,504","1,00,751","1,76,358","2,52,114","2,48,774","2,49,082","2,95,096","306,4","2,50,269","2,50,313","5,52,139","5,59,272","5,53,256","5,44,532","562,13","539,34","5,10,262","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3384,18","6,23,657","3,98,672","1,00,758","1,76,324","2,52,158","2,50,269","2,49,697","2,95,096","306,4","2,50,269","2,49,478","5,57,744","5,50,324","556,82","543,83","5,59,374","5,73,948","5,29,684","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3410,16","6,26,831","3,94,043","1,00,765","1,76,289","2,52,246","2,53,345","2,50,576","2,95,096","306,4","2,50,269","249,39","5,55,342","546,02","551,42","5,65,078","555,08","6,01,276","5,60,586","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3431,74","6,26,831","3,92,285","1,00,772","1,76,255","2,52,246","2,54,224","2,50,928","2,95,096","306,4","2,50,269","249,39","5,50,537","546,02","547,1","575,39","553,54","607,1","573,83","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3425,59","6,20,239","3,97,207","1,00,779","17,622","2,52,114","2,51,587","2,50,928","2,95,096","306,4","2,50,269","2,50,313","5,55,342","5,53,496","5,46,134","556,64","5,48,578","5,79,212","564,56","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3431,25","6,12,183","4,03,125","1,00,786","1,76,186","2,51,895","2,49,565","2,51,191","2,95,096","306,4","2,50,137","2,49,741","5,63,049","5,54,742","5,46,456","540,39","5,51,222","5,49,532","558,38","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3485,16","6,19,629","4,01,543","1,00,793","1,76,151","252,07","2,51,895","2,51,499","2,95,096","306,4","2,50,181","2,48,423","5,54,641","5,52,928","545,81","5,47,028","554,86","5,47,516","5,55,728","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3453,91","6,19,629","3,98,086","1,00,816","1,76,117","252,51","2,53,037","2,51,455","2,95,096","306,4","2,50,005","2,49,126","5,27,815","5,54,736","5,45,274","5,51,482","553,98","5,64,204","561,58","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3384,47","6,15,234","3,95,508","1,00,849","1,76,083","252,29","2,50,972","2,49,653","2,95,096","306,4","2,49,961","2,51,543","5,34,521","5,53,606","556,17","5,56,018","5,58,826","5,62,524","5,55,734","65,76","2,76"
10-03-2017 07:00,"54,95","17,4","3425,49","6,20,361","4,00,488","1,00,882","1,76,048","2,52,422","2,48,115","2,48,774","2,95,096","306,4","2,50,181","2,50,708","5,44,832","5,55,646","5,65,558","544,53","5,51,112","5,42,476","539,84","65,76","2,76"
10-03-2017 09:00,"54,95","17,4","3737,89","5,91,644","3,95,874","9,88,279","1,76","2,48,324","2,46,456","2,49,016","2,95,096","306,4","2,53,345","2,48,368","5,33,495","5,58,735","534,69","5,44,078","5,37,041","5,24,519","5,30,984","66,68","1,73"
10-03-2017 09:00,"54,95","17,4","3728,52","5,95,581","3,88,579","9,88,303","1,76","2,48,544","2,52,806","249,39","2,95,096","306,4","2,49,313","2,52,993","5,35,848","550,55","5,36,552","5,63,143","5,50,424","5,53,228","5,62,569","66,68","1,73"
